   # SYM binstart            G            K             HS          f
   0 NEG  -10.400      34.2264 4.33901e-010              0          0
   1 ---  -10	33.8318	2.03E-10                        0          0
   2 ---  -9.6	26.1384	4.45E-07                 117706          0
   3 ---  -9.2	21.6201	4.08E-05                 148469          0
   4 ---  -8.8	18.5731	8.59E-04                 132458          0
   5 ---  -8.4	16.5521	6.48E-03                 129987          0
   6 ---  -8	14.9132	3.34E-02                   130307          0
   7 ---  -7.6	13.5642	1.29E-01                 133410          0
   8 ---  -7.2	12.465	3.86E-01                 120835          0
   9 ---  -6.8	11.5857	9.30E-01                 102876          0
  10 ---  -6.4	10.6742	2.31E+00                 110755          0
  11 ---  -6	9.9652	4.70E+00                    99381          0
  12 ---  -5.6	9.2626	9.49E+00                 108940          0
  13 ---  -5.2	8.6903	1.68E+01                 132728          0
  14 ---  -4.8	8.1397	2.92E+01                 126392          0
  15 ---  -4.4	7.7237	4.42E+01                 124320          0
  16 ---  -4	7.3231	6.60E+01                   119438          0
  17 ---  -3.6	6.9608	9.48E+01                 127671          0
  18 ---  -3.2	6.609	1.35E+02                   123944          0
  19 ---  -2.8	6.2963	1.84E+02                 136815          0
  20 ---  -2.4	5.9389	2.64E+02                 114176          0
  21 ---  -2	5.6322	3.58E+02                   119725          0
  22 ---  -1.6	5.135	5.89E+02                   127236          0
  23 ---  -1.2	4.4931	1.12E+03                 106763          0
  24 ---  -0.8	3.5158	2.97E+03                 106069          0
  25 ---  -0.4	2.5537	7.78E+03                 101181          0
  26 ---  0	0.531	5.88E+04                       198378          0
  27 ---  0.4	-1.5473	4.70E+05                   233516          0
  28 ---  0.8	-2.6206	1.37E+06                   203567          0
  29 ---  1.2	-3.4528	3.16E+06                   158675          0
  30 ---  1.6	-3.5383	3.44E+06                   255734          0
  31 ---  2	-2.3295	1.03E+06                     267844          0
  32 ---  2.4	-0.7749	2.17E+05                   217567          0
  33 ---  2.8	0.1747	8.40E+04                   209800          0
  34 ---  3.2	1.3432	2.61E+04                   216493          0
  35 ---  3.6	3.3241	3.60E+03                   462851          0
  36 ---  4	5.3802	4.61E+02                     557182          0
  37 ---  4.4	8.4974	2.04E+01                   799783          0
  38 ---  4.8	10.0358	4.38E+00                    27028          0
  39 ---  5.2	10.1084	4.07E+00                        0          0
  40 ---  5.6	9.9958	4.56E+00                        0          0
  41 ---  6	9.8335	5.36E+00                          0          0
  42 ---  6.4	9.6972	6.15E+00                        0          0
  43 ---  6.8	9.5755	6.94E+00                        0          0
  44 ---  7.2	9.4437	7.92E+00                        0          0
  45 ---  7.6	9.3357	8.82E+00                        0          0
  46 ---  8	9.1832	1.03E+01                          0          0
  47 ---  8.4	9.1313	1.08E+01                        0          0
  48 ---  8.8	9.0145	1.22E+01                        0          0
  49 ---  9.2	8.934	1.32E+01                          0          0
  50 ---  9.6	8.8187	1.48E+01                        0          0
