    99   In the main body
     1   c    0.000000    0.000000    0.000000     1     2      
     2   c    1.000000    0.000000    0.000000     1     1     3
     3   c    1.994300    0.103214   -0.026725     1     2     4
     4   C    2.979653    0.273089   -0.041664     1     3     5
     5   C    3.951464    0.508830   -0.044747     1     4     6
     6   C    4.905201    0.809341   -0.035960     1     5     7
     7   C    5.836420    1.173217   -0.015344     1     6     8
     8   C    6.740777    1.598766    0.017005     1     7     9
     9   C    7.614058    2.084001    0.060936     1     8    10
    10   C    8.452188    2.626660    0.116244     1     9    11
    11   C    9.251261    3.224212    0.182672     1    10    12
    12   C   10.007551    3.873873    0.259910     1    11    13
    13   C   10.717533    4.572613    0.347597     1    12    14
    14   C   11.377895    5.317174    0.445326     1    13    15
    15   C   11.985559    6.104084    0.552639     1    14    16
    16   C   12.537691    6.929675    0.669037     1    15    17
    17   C   13.031718    7.790098    0.793977     1    16    18
    18   C   13.465336    8.681341    0.926877     1    17    19
    19   C   13.836525    9.599247    1.067116     1    18    20
    20   C   14.143550   10.539539    1.214042     1    19    21
    21   C   14.384983   11.497831    1.366969     1    20    22
    22   C   14.559697   12.469655    1.525184     1    21    23
    23   C   14.666879   13.450481    1.687949     1    22    24
    24   C   14.706027   14.435736    1.854505     1    23    25
    25   C   14.676960   15.420825    2.024077     1    24    26
    26   C   14.579813   16.401156    2.195872     1    25    27
    27   C   14.415039   17.372158    2.369091     1    26    28
    28   C   14.183406   18.329304    2.542926     1    27    29
    29   C   13.885994   19.268130    2.716566     1    28    30
    30   C   13.524191   20.184261    2.889201     1    29    31
    31   C   13.099682   21.073423    3.060027     1    30    32
    32   C   12.614447   21.931474    3.228248     1    31    33
    33   C   12.070749   22.754409    3.393078     1    32    34
    34   C   11.471123   23.538395    3.553749     1    33    35
    35   C   10.818363   24.279773    3.709513     1    34    36
    36   C   10.115515   24.975090    3.859642     1    35    37
    37   C    9.365854   25.621101    4.003438     1    36    38
    38   C    8.572876   26.214796    4.140229     1    37    39
    39   C    7.740278   26.753407    4.269379     1    38    40
    40   C    6.871942   27.234420    4.390283     1    39    41
    41   C    5.971916   27.655597    4.502380     1    40    42
    42   C    5.044398   28.014970    4.605146     1    41    43
    43   C    4.093711   28.310865    4.698102     1    42    44
    44   C    3.124289   28.541902    4.780815     1    43    45
    45   C    2.140650   28.707005    4.852898     1    44    46
    46   C    1.147382   28.805404    4.914017     1    45    47
    47   C    0.149114   28.836639    4.963886     1    46    48
    48   C   -0.849497   28.800565    5.002273     1    47    49
    49   C   -1.843797   28.697351    5.028998     1    48    50
    50   C   -2.829150   28.527476    5.043936     1    49    51
    51   C   -3.800961   28.291734    5.047020     1    50    52
    52   C   -4.754699   27.991224    5.038233     1    51    53
    53   C   -5.685917   27.627347    5.017617     1    52    54
    54   C   -6.590275   27.201800    4.985268     1    53    55
    55   C   -6.436262   26.403211    4.403429     1    54    56
    56   C   -7.007726   26.035039    3.670026     1    55    57
    57   C   -7.678526   26.503300    3.094910     1    56    58
    58   C   -7.734229   27.470540    2.847236     1    57    59
    59   C   -8.981002   25.735480    9.235450     1    58    60
    60   C   -5.789828   27.862184    0.000000     1    59    61
    61   C   -6.677714   27.402118    0.000000     1    60    62
    62   C   -7.532133   26.882535    0.000000     1    61    63
    63   C   -8.349103   26.305854    0.000000     1    62    64
    64   C   -9.124814   25.674766    0.000000     1    63    65
    65   C   -9.855650   24.992213    0.000000     1    64    66
    66   C  -10.538203   24.261377    0.000000     1    65    67
    67   C  -11.169291   23.485666    0.000000     1    66    68
    68   C  -11.745971   22.668696    0.000000     1    67    69
    69   C  -12.265555   21.814277    0.000000     1    68    70
    70   C  -12.725620   20.926391    0.000000     1    69    71
    71   C  -13.124022   20.009180    0.000000     1    70    72
    72   C  -13.458901   19.066919    0.000000     1    71    73
    73   C  -13.728698   18.104002    0.000000     1    72    74
    74   C  -13.932154   17.124918    0.000000     1    73    75
    75   C  -14.068321   16.134232    0.000000     1    74    76
    76   C  -14.136563   15.136563    0.000000     1    75    77
    77   C  -14.136563   14.136563    0.000000     1    76    78
    78   C  -14.068321   13.138894    0.000000     1    77    79
    79   C  -13.932154   12.148208    0.000000     1    78    80
    80   C  -13.728698   11.169124    0.000000     1    79    81
    81   C  -13.458901   10.206207    0.000000     1    80    82
    82   C  -13.124022    9.263946    0.000000     1    81    83
    83   C  -12.725620    8.346735    0.000000     1    82    84
    84   C  -12.265555    7.458849    0.000000     1    83    85
    85   C  -11.745971    6.604430    0.000000     1    84    86
    86   C  -11.169291    5.787460    0.000000     1    85    87
    87   C  -10.538203    5.011749    0.000000     1    86    88
    88   C   -9.855650    4.280913    0.000000     1    87    89
    89   C   -9.124814    3.598360    0.000000     1    88    90
    90   C   -8.349103    2.967272    0.000000     1    89    91
    91   C   -7.532133    2.390592    0.000000     1    90    92
    92   C   -6.677714    1.871008    0.000000     1    91    93
    93   C   -5.789828    1.410943    0.000000     1    92    94
    94   C   -4.872617    1.012541    0.000000     1    93    95
    95   C   -3.930356    0.677662    0.000000     1    94    96
    96   C   -2.967439    0.407865    0.000000     1    95    97
    97   C   -1.988355    0.204409    0.000000     1    96    98
    98   C   -0.997669    0.068242    0.000000     1    97    99
    99   C    0.000000    0.000000    0.000000     1    98      
